name,ra,dec,dist,pmra,pmdec,rv,rcluster,n_star
FSR_1484,142.452,-50.696999999999996,2463.054187192118,-5.154,3.537,0,0.035,0
FSR_1509,147.006,-55.073,4291.845493562231,-4.0489999999999995,2.7230000000000003,0,0.027999999999999997,0
FSR_1521,148.852,-56.605,4975.124378109453,-4.886,4.467,0,0.06,0
FSR_1530,152.216,-57.288000000000004,5102.04081632653,-5.6610000000000005,3.373,0,0.040999999999999995,0
FSR_1580,171.917,-58.471000000000004,8000.0,-5.244,1.4080000000000001,0,0.039,0
FSR_1586,170.679,-62.302,4739.336492890995,-5.934,1.5130000000000001,0,0.057,0
FSR_1591,174.222,-62.731,3921.5686274509803,-5.468999999999999,1.67,0,0.048,0
FSR_1595,176.771,-62.638999999999996,5586.59217877095,-6.779,1.3730000000000002,0,0.03,0
FSR_1663,205.25099999999998,-60.203,3703.7037037037035,-5.031000000000001,-2.464,0,0.044000000000000004,0
FSR_1723,238.769,-46.013999999999996,1557.632398753894,-0.196,-1.395,0,0.047,0
FSR_1750,255.523,-38.875,3952.5691699604745,-1.604,-2.3169999999999997,0,0.040999999999999995,0
Feibelman_1,304.41700000000003,38.03,3846.153846153846,-3.1919999999999997,-4.956,0,0.034,0
Ferrero_1,275.063,-32.338,873.3624454148471,0.149,-4.809,0,0.188,0
Ferrero_11,93.646,0.637,806.4516129032259,-3.013,-4.3389999999999995,0,0.231,0
Gaia_1,101.47399999999999,-16.733,6896.551724137931,-0.079,1.249,0,0.086,0
Gaia_2,28.136,53.058,10101.0101010101,-1.181,1.2990000000000002,0,0.031,0
Graham_1,164.13400000000001,-63.018,4587.155963302753,-6.324,2.178,0,0.027999999999999997,0
Gulliver_1,161.582,-57.034,3095.9752321981427,-7.926,3.582,0,0.08900000000000001,0
Gulliver_10,123.09,-38.676,605.3268765133172,-4.4430000000000005,4.965,0,0.183,0
Gulliver_11,67.99600000000001,43.62,942.5070688030161,0.4,-2.229,0,0.131,0
Gulliver_12,181.174,-61.308,1788.9087656529518,-5.9479999999999995,-0.41,0,0.076,0
Gulliver_13,104.85799999999999,-13.254000000000001,1612.9032258064517,-2.9410000000000003,0.281,0,0.115,0
Gulliver_14,259.928,-36.785,1342.2818791946308,-3.719,-4.792,0,0.184,0
Gulliver_15,272.599,-16.723,1976.2845849802372,-1.06,-1.6380000000000001,0,0.08900000000000001,0
Gulliver_16,23.433000000000003,60.751000000000005,4807.692307692308,-1.249,-0.614,0,0.046,0
Gulliver_17,302.654,35.871,1801.8018018018017,-1.078,-3.029,0,0.063,0
Gulliver_18,302.905,26.531999999999996,1631.3213703099511,-3.198,-5.646,0,0.124,0
Gulliver_19,344.19,61.106,1577.2870662460568,0.893,-2.258,0,0.157,0
Gulliver_2,122.883,-37.404,1436.7816091954023,-4.9510000000000005,4.5760000000000005,0,0.073,0
Gulliver_20,273.736,11.082,426.075841499787,1.0390000000000001,-6.525,0,0.7040000000000001,0
Gulliver_21,106.961,-25.462,664.8936170212766,-1.929,4.205,0,0.364,0
Gulliver_22,84.848,26.368000000000002,795.5449482895783,-1.5230000000000001,-4.605,0,0.11900000000000001,0
